"Title","Created Date","projectTag","organisationTag","personTag","extraOrganisationTag","role","extraIdentifier","ID","Updated Date","Owner"
"Effie Amanatidou -to- The University of Manchester",2025-01-24T14:23:45Z,,"8b50d097-dd4c-4021-aed3-f7ff330adf55","7761c491-0adc-4c2f-aa91-599a3699f3fa",,,"current","002bef30-d76d-4423-9045-91d5f29ca3ab",2025-01-24T14:23:45Z,
"Effie Amanatidou -to- European Foresight Monitoring Network - EFMN",2025-01-24T14:41:11Z,"f02c006f-7cc4-4cdc-9134-640b7ea6bfcb",,"7761c491-0adc-4c2f-aa91-599a3699f3fa",,,"participation","00557405-2404-4d39-8bcc-992b013ebba0",2025-01-24T14:41:11Z,
"Silvia Ciubotaru -to- Friends For Friends Foundation",2025-07-10T14:02:20Z,,"260448ab-28ce-4d22-9b8c-f4d077246fdf","6e804992-3afd-4b11-b049-1671abafa4b4",,,"current","008897ab-7890-4541-a107-15d3b32ada2b",2025-07-10T14:02:20Z,
"Eye of Europe -to- Philine Warnke",2025-09-30T10:26:44Z,"a3da923c-66d3-46a7-8ab0-8d33424f3b80",,"26c009a4-0699-45fa-8d60-16ebfe63cd90",,,"participation","00c262ef-0ad8-4e6e-9ff8-47c12f91a0ec",2025-09-30T10:26:44Z,
"MATS -to- UPM",2025-01-06T15:34:27Z,"1e530c9e-e29a-4816-8c1e-961601143734","fb665126-f17d-4e13-9dca-af8955359223",,,,"projectOrganisationRole","00cdd793-4b6f-442a-ac84-2545a3d6416b",2025-01-06T15:34:27Z,
"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH -to- Moritz Hunger",2025-02-06T10:58:18Z,,"2de89dc8-80b8-408b-a9b3-00cb365445e6","d60b3ee4-aa3e-414d-915b-e5b32ae414d8",,,"current","00ec1087-c1ec-41ff-8ead-32f30ff24c00",2025-02-06T10:58:18Z,
"EU Policy Lab -to- ESPAS Horizon Scanning",2025-01-06T15:10:58Z,"768d06d7-153a-4f32-9988-b7fe13bb28c9","6cdfc14a-1b0a-49df-bf17-e0e85688951d",,,,"projectOrganisationRole","014b6217-b4f4-43f1-8df3-7d896b546061",2025-01-06T15:10:58Z,
"kerstin.cuhls -to- Studie zur Institutionalisierung von Strategischer Vorausschau als Prozess und Methode",2025-05-05T17:57:39Z,"da43f460-ea6a-46e9-b990-491e9164cc8f",,"46d5b959-e965-4ccb-872f-7ef7b0a640e2",,,"participation","015dc9de-aa01-4052-9c0f-80ccdc80178f",2025-05-05T17:57:39Z,
"Charlotte Freudenberg -to- Asylum Scenarios 2032 – The Future of International Protection in the EU+ in the Next 10 Years",2025-02-27T11:05:36Z,"7a03a84c-7c9c-40eb-b7d5-d9a320a64aa1",,"efc99618-13ea-4c88-a45a-43cb29ba4173",,,"participation","0186d234-b71f-40f4-99fe-fa2b0fd4e41c",2025-02-27T11:05:36Z,
"S&T&I for 2050 -to- Carlo Sessa",2025-03-04T09:48:47Z,"359dab73-abf8-440a-966b-bfbb5969c46d",,"5655e4c9-fee7-48ab-83d8-168bcbf0c3b9",,,"participation","01a4fe41-834c-406f-8e04-2325e514d321",2025-03-04T09:48:47Z,
"Travelling into the [future] -to- Elena Artiles Leyes",2024-11-11T14:48:00Z,"4ec4edf3-7388-4f65-abdb-1b950b26691e",,"91c70b82-4115-417f-8ecf-a93eee2c74f1",,,"participation","01a5426a-a71f-4649-bc48-fa06776ce182",2024-11-11T14:48:00Z,
"Strategic Foresight for Sustainability -to- EDHEC",2024-12-27T12:34:12Z,"95c3bf6f-db55-41c2-80a7-f5ab9bbc38f3","eea4c623-07c5-43ab-9c2e-011ebe354c8f",,,,"projectOrganisationRole","01a6e56c-c5ca-40da-b431-b21cf7284a53",2024-12-27T12:34:12Z,
"Effie Amanatidou -to- CASI",2025-01-24T14:41:11Z,"e0c69906-f04f-48f9-89eb-a2524ef9dfdd",,"7761c491-0adc-4c2f-aa91-599a3699f3fa",,,"participation","01f1b909-9e60-48a1-a44b-d205d339b8a7",2025-01-24T14:41:11Z,
"FOD ERA ITR -to- Izabella Martins Grapengiesser",2025-01-29T10:17:52Z,"44c7f4d9-ecdd-498f-863e-4791e4d02b3f",,"f3a0557c-b831-46e2-a85d-e4baf13bdbc0",,,"participation","0219a170-baf7-45aa-ae15-c0de2493a99c",2025-01-29T10:17:52Z,
"Manos Tsakiris -to- University of London",2025-06-26T09:54:03Z,,"a20d26eb-1dae-4169-b9fd-4cfee1a5b77d","5084358e-115a-4d22-b5f3-bbf348926a06",,,"current","02468d3a-861a-45f4-a81e-5edd9c8e1899",2025-06-26T09:54:03Z,
"Eye of Europe -to- Michal Habrman",2025-09-30T10:26:44Z,"a3da923c-66d3-46a7-8ab0-8d33424f3b80",,"13666b69-14e7-4948-861c-1067b3a18bf3",,,"participation","024d7528-460a-434a-ad65-ddaeb5149f92",2025-09-30T10:26:44Z,
"YouthDecide 2040 -to- Fraunhofer ISI",2025-02-20T15:03:03Z,"eba1f38f-550b-42ff-a3a2-6407b9910174","b83286d1-5153-4efa-b694-e1828ca61739",,,,"projectOrganisationRole","024e552f-3122-4b54-b4b0-7a77382d17f0",2025-02-20T15:03:03Z,
"Effie Amanatidou -to- Research and Innovation Futures 2030",2025-01-24T14:41:11Z,"eeb17b1f-6aec-461c-b8b9-9fae851c36a2",,"7761c491-0adc-4c2f-aa91-599a3699f3fa",,,"participation","026bcf05-8127-4a49-bacd-d667625997af",2025-01-24T14:41:11Z,
"Silvia Vicente-Oliva -to- University of Zaragoza",2024-12-27T00:02:15Z,,"4a8d4631-2138-4f9f-80bc-e3b50900b867","3de0bfe8-ff40-49f7-bcc8-441dcb774021",,,"current","02d0ac00-ab24-4c7c-9080-683244700d4c",2024-12-27T00:02:15Z,
"Beth McEvoy -to- Queen's University Belfast",2024-12-27T00:31:45Z,,"f9cf2deb-eccc-470e-9e4d-92d4ae0e179f","47543b32-2401-4d1e-af67-f09d1dffe930",,,"current","02f07d71-896a-4674-b971-276b47895e84",2024-12-27T00:31:45Z,
"EU Policy Lab -to- Long-Term Implications of the Digital Transition for Farmers and Rural Communities",2025-01-06T15:15:51Z,"fdc95b5a-2f05-4e32-9482-ad3e531070e8","6cdfc14a-1b0a-49df-bf17-e0e85688951d",,,,"projectOrganisationRole","0308e494-f85f-4dde-99d4-57fd0f578804",2025-01-06T15:15:51Z,
"Pedro de Senna -to- Middlesex University",2025-04-16T23:02:05Z,,"0f161510-1ea4-4684-b5b8-6668203d3918","b8de8b30-aae1-4388-ad8f-dc45124a1f9b",,,"former","0328e867-6423-4f69-8f41-9ac35a63084f",2025-04-16T23:02:05Z,
"Effie Amanatidou -to- SESTI",2025-01-24T14:41:11Z,"36095ab0-3422-49d1-a8c5-60636583fcb5",,"7761c491-0adc-4c2f-aa91-599a3699f3fa",,,"participation","034e3ab2-0205-42cf-9e84-d404adc96469",2025-01-24T14:41:11Z,
"Faculty of Computer Science -to- ",2025-11-04T09:27:51Z,,"3235577a-3163-4326-874e-d1bd031b575f","{""id"":"""",""name"":"""",""arole"":""""}",,,"current","035562af-6502-4664-b02b-5f78ebf275a1",2025-11-04T09:27:51Z,
"CROSSEU -to- DTU",2024-11-13T03:31:37Z,"34f5eda7-b8a6-405b-ba3d-73bc9f07112e","432d1457-97dc-4db5-9750-fc345bc98692",,,,"projectOrganisationRole","035ac406-3924-40af-9b09-97068e54ab21",2024-11-13T03:31:37Z,
"Niina Kolehmainen -to- UK NIHR Innovation Observatory",2025-02-05T11:10:43Z,,"020878d7-c35e-42c3-9cd1-edb8e93dd8b6","4d3cd6a8-a6c8-47a9-a558-53ab0971b83f",,,"current","039b4f87-924a-48c9-8cb1-34f5cb1bdd4e",2025-02-05T11:10:43Z,
"Elena Barrenetxea -to- Insight Foresight Institute",2025-07-10T09:51:05Z,,"bece18b7-2432-45a2-9859-2a1824c5296f","1c708218-d84e-4894-b6b1-73fa74d87f53",,,"current","0407b1b0-4bac-44e6-9e03-f9b14b6b4297",2025-07-10T09:51:05Z,
"MATS -to- Maastricht University",2025-01-06T15:34:27Z,"1e530c9e-e29a-4816-8c1e-961601143734","df2c0a70-a025-4ea7-b33b-9afe26de7fff",,,,"projectOrganisationRole","0481ed1f-540d-4df1-95cf-1404da3981d3",2025-01-06T15:34:27Z,
"FOSTER -to- kerstin.cuhls",2025-01-13T17:31:05Z,"798aad7d-5c63-4a97-be59-40cceebea3fe",,"d370618b-7a98-4073-b4db-8fcfaae2da0e",,,"participation","04984373-0759-409a-83f4-2199db1b0ab1",2025-01-13T17:31:05Z,
"Foresight on Demand I -to- Dana Wasserbacher",2025-01-08T09:01:46Z,,"61191b59-911a-43a3-8909-9a93d4049840","8789f421-e784-48fa-a8ad-e877e00d9e7f",,,"current","04a311a0-e41a-4dc4-99b2-1bcd46f93874",2025-01-08T09:01:46Z,
"Eye of Europe -to- Helenos Consulting",2025-06-29T07:35:30Z,"a3da923c-66d3-46a7-8ab0-8d33424f3b80","dc9cad11-90cb-4f93-a5e5-1e6a20acccb9",,,,"projectOrganisationRole","04b35f17-2dbe-4e8c-9c70-4879e0a6199e",2025-06-29T07:35:30Z,
"Copenhagen Institute for Futures Studies -to- IMPROVE",2025-05-14T16:04:35Z,"f2a7b5d5-8c4d-441b-9406-e8d72336d5e3","527c6208-a661-4fc4-a435-b20c9ceb7d29",,,,"projectOrganisationRole","04dc5494-23a9-480f-a490-56ab901f1fc5",2025-05-14T16:04:35Z,
"CARMINE -to- Secretary of State for Science, Innovation and Technology of the United Kingdom",2025-05-01T11:08:23Z,"e3b7c668-a21f-40a7-809e-102db2f19741","6ba8a32b-a494-40c3-a50d-d5e252e000dd",,,,"projectOrganisationRole","04e16027-8750-4fa3-8446-f5afdc165d23",2025-05-01T11:08:23Z,
